2023-12-15 17:17:39,714 [INFO ] | main | io.vertx.up.unity.D10047Tc | [1;30m[ μηδέν ] [m[ Tc ] Test input file reading from: test/io.vertx.up.unity/d10047.json 
2023-12-15 17:17:39,999 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = true, Type = java.lang.Boolean. 
2023-12-15 17:17:40,002 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = false, Type = java.lang.Boolean. 
2023-12-15 17:17:40,005 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [{name=Lang}], Type = java.util.Set. 
2023-12-15 17:17:40,008 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [{name=Lang}], Type = java.util.List. 
2023-12-15 17:17:40,012 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12/9/18, 12:00 AM, Type = java.util.Date. 
2023-12-15 17:17:40,016 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = java.util.GregorianCalendar[time=1544284800000,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Shanghai",offset=28800000,dstSavings=0,useDaylight=false,transitions=31,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2018,MONTH=11,WEEK_OF_YEAR=50,WEEK_OF_MONTH=3,DAY_OF_MONTH=9,DAY_OF_YEAR=343,DAY_OF_WEEK=1,DAY_OF_WEEK_IN_MONTH=2,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=0,ZONE_OFFSET=28800000,DST_OFFSET=0], Type = java.util.Calendar. 
2023-12-15 17:17:40,028 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = STRING, Type = io.vertx.up.uca.web.TestEnum. 
2023-12-15 17:17:40,032 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = OBJECT, Type = io.vertx.up.uca.web.TestEnum. 
2023-12-15 17:17:40,036 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345,123,123, Type = java.lang.Long. 
2023-12-15 17:17:40,040 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 1,234,512,312,312, Type = long. 
2023-12-15 17:17:40,044 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 1,234, Type = java.lang.Integer. 
2023-12-15 17:17:40,048 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 123,456, Type = int. 
2023-12-15 17:17:40,051 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [{name=Lang}], Type = java.util.ArrayList. 
2023-12-15 17:17:40,055 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = null, Type = java.util.TreeSet. 
2023-12-15 17:17:40,058 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [{username=Xi, email=lang.xi@hpe.com}, {username=Lang, age=33}], Type = java.util.Set. 
2023-12-15 17:17:40,061 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = Test StringBuffer, Type = java.lang.StringBuffer. 
2023-12-15 17:17:40,066 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345.33, Type = java.math.BigDecimal. 
2023-12-15 17:17:40,071 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [B@64968732, Type = [Ljava.lang.Byte;. 
2023-12-15 17:17:40,074 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [B@700f518a, Type = [B. 
2023-12-15 17:17:40,079 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345.33, Type = float. 
2023-12-15 17:17:40,082 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345.33, Type = java.lang.Float. 
2023-12-15 17:17:40,085 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = [{"name":"Lang"}], Type = io.vertx.core.json.JsonArray. 
2023-12-15 17:17:40,089 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345.33, Type = double. 
2023-12-15 17:17:40,092 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345.33, Type = java.lang.Double. 
2023-12-15 17:17:40,094 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = {"name":"Lang"}, Type = io.vertx.core.json.JsonObject. 
2023-12-15 17:17:40,098 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345, Type = short. 
2023-12-15 17:17:40,101 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 12,345, Type = java.lang.Short. 
2023-12-15 17:17:40,104 [INFO ] | main | io.vertx.up.uca.web.ZeroSerializationTc | [1;30m[ μηδέν ] [m[TEST] Data = 1234, Type = java.lang.String. 
2023-12-15 17:17:40,108 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":2}, Type = java.lang.Integer. 
2023-12-15 17:17:40,113 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":["Hello"]}, Type = java.util.HashSet. 
2023-12-15 17:17:40,115 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":"AAAAAAAAAAAAAAAAAAAAAA"}, Type = [B. 
2023-12-15 17:17:40,118 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":1702631860118}, Type = java.util.GregorianCalendar. 
2023-12-15 17:17:40,121 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":"2023-12-15"}, Type = java.time.LocalDate. 
2023-12-15 17:17:40,122 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":"17:17:40.121986"}, Type = java.time.LocalTime. 
2023-12-15 17:17:40,122 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":"2023-12-15T17:17:40.122299"}, Type = java.time.LocalDateTime. 
2023-12-15 17:17:40,125 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":22}, Type = java.lang.Long. 
2023-12-15 17:17:40,129 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":[{"name":"Lang","email":"silentbalanceyh@126.com"},null]}, Type = [Lio.vertx.up.uca.web.User;. 
2023-12-15 17:17:40,132 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":1702631860132}, Type = java.util.Date. 
2023-12-15 17:17:40,134 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":"STRING"}, Type = io.vertx.up.uca.web.KTest. 
2023-12-15 17:17:40,137 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":3}, Type = java.lang.Integer. 
2023-12-15 17:17:40,139 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":3}, Type = java.lang.Long. 
2023-12-15 17:17:40,141 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":null}, Type = null. 
2023-12-15 17:17:40,144 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":null}, Type = io.vertx.up.uca.web.User. 
2023-12-15 17:17:40,148 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":[{"name":"Lang","email":"silentbalanceyh@126.com"}]}, Type = java.util.ArrayList. 
2023-12-15 17:17:40,152 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":3.33}, Type = java.lang.Float. 
2023-12-15 17:17:40,153 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":2.44}, Type = java.math.BigDecimal. 
2023-12-15 17:17:40,158 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":"Buffer"}, Type = java.lang.StringBuffer. 
2023-12-15 17:17:40,162 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":2.33}, Type = java.lang.Double. 
2023-12-15 17:17:40,165 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":3.33}, Type = java.lang.Float. 
2023-12-15 17:17:40,168 [INFO ] | main | io.vertx.up.uca.web.ZeroTypeTc | [1;30m[ μηδέν ] [m[TEST] Data = {"request":["Hello","Lang"]}, Type = [Ljava.lang.String;. 
2023-12-15 17:17:40,174 [INFO ] | main | io.vertx.up.uca.serialization.BufferSaberTc | [1;30m[ μηδέν ] [m[ Tc ] Test input file reading from: test/io.vertx.up.uca.serialization/data 
2023-12-15 17:17:40,227 [INFO ] | main | io.vertx.up.runtime.ZeroPack | [1;30m[ μηδέν ] [mIgnored packages: [ "android.annotation", "aj.org.objectweb", "camundajar", "camundafeel", "cglib", "ch.qos.logback", "co.paralleluniverse", "connectjar", "com.aliyun", "com.carrotsearch", "com.eclipsesource", "com.esotericsoftware", "com.fasterxml", "com.github", "com.google", "com.graphbuilder", "com.hazelcast", "com.hp", "com.intellij", "com.jcraft.jzlib", "com.microfocus", "com.microsoft", "com.mysql", "com.netflix", "com.oracle", "com.sun", "com.tdunning", "com.zaxxer", "com.codahale", "de.javakaffee", "de.odysseus", "examples", "fastparse", "geny", "io.github", "io.github.jklingsporn", "io.grpc", "io.micrometer", "io.netty", "io.opentracing", "io.prometheus", "io.perfmark", "io.reactivex", "io.r2dbc", "io.termd", "io.vertx.codegen", "io.vertx.config", "io.vertx.core", "io.vertx.ext", "io.vertx.lang", "io.vertx.spi", "io.vertx.zero", "io.zero", "jakarta", "joptsimple", "java", "java.util.concurrent", "javassist", "javax", "jdk", "junit", "kotlin", "me.escofflier", "mousio", "net", "oracle", "org.HdrHistogram", "org.aopalliance", "org.aspectj", "org.apache", "org.camunda", "org.checkerframework", "org.cliffc", "org.conscrypt", "org.codehaus", "org.eclipse", "org.elasticsearch", "org.etsi", "org.glassfish", "org.hamcrest", "org.hibernate", "org.intellij", "org.infinispan", "org.jboss", "org.jetbrains", "org.jgroups", "org.joda", "org.jooq", "org.json", "org.junit", "org.jvnet", "org.mvel2", "org.neo4j", "org.objenesis", "org.objectweb", "org.openxmlformats", "org.osgi", "org.reactivestreams", "org.reflections", "org.slf4j", "org.tartarus", "org.w3c", "org.w3", "org.wildfly", "org.xml", "org.yaml", "protostream", "picocli", "redis", "scala", "sourcecode", "schemaorg_apache_xmlbeans", "sun", "META-INF" ], please check whether contains yours 
2023-12-15 17:17:40,404 [INFO ] | main | io.vertx.up.runtime.ZeroPack | [1;30m[ μηδέν ] [mZero system scanned `753` classes in total. 
2023-12-15 17:17:40,404 [INFO ] | main | io.vertx.up.boot.origin.GuiceInquirer | [1;30m[ μηδέν ] [m[ DI ] The DI environment will be initialized! Total = `753` 
2023-12-15 17:17:40,413 [INFO ] | main | io.vertx.up.boot.origin.GuiceInquirer | [1;30m[ μηδέν ] [m[ DI ] 1st scanned, field = 0, method = 0, constructor = 0 
2023-12-15 17:17:40,457 [INFO ] | main | io.vertx.boot.supply.ZeroAnno | [1;30m[ μηδέν ] [mZero Zone DI Environment.... Size= 753 
2023-12-15 17:17:40,459 [WARN ] | main | io.vertx.up.boot.origin.WallInquirer | [ ERR-40038 ] ( WallInquirer ) Booting Error: (Security) Zero system detected duplicated "Wall" classes [io.vertx.quiz.example.WallKeeper2,io.vertx.quiz.example.WallKeeper3,io.vertx.quiz.example.WallKeeper1] (Path & Order) should not be the same, it's invalid 
